CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,353,11,131,10.79,764.65,-25.90,225,760.30,764.90,75,"23,900.00",675,11.90,12.05,"1,050",-0.35,11.80,14.42,"59,869","2,651","15,361",
,26,12,27,12.11,719.00,-22.65,75,711.35,717.10,75,"23,950.00",375,13.40,13.70,150,-0.20,13.50,14.03,"20,876",519,"4,571",
,"4,075",833,"3,948",9.37,665.00,-29.75,150,665.20,667.00,75,"24,000.00","1,125",15.75,15.90,525,0.10,15.85,13.78,"1,52,302","19,451","49,638",
,126,10,31,9.56,616.15,-32.10,225,616.20,629.15,675,"24,050.00",150,17.75,18.10,150,0.35,18.15,13.37,"20,334",370,"4,899",
,727,100,433,10.96,573.00,-28.35,150,570.35,572.00,75,"24,100.00",375,20.90,21.05,300,-0.15,20.50,13.07,"63,491","3,656","16,906",
,112,18,57,10.39,524.00,-29.95,150,523.95,528.30,75,"24,150.00",225,24.30,24.75,975,0.20,23.90,12.72,"37,016","2,241","6,033",
,"2,870","1,108","3,271",10.65,484.60,-26.80,450,479.75,480.00,150,"24,200.00",150,28.70,28.85,150,1.05,28.80,12.46,"1,05,953","7,655","29,291",
,341,-1,440,10.83,436.75,-28.45,150,433.40,437.50,150,"24,250.00",75,33.65,34.25,75,1.60,34.00,12.14,"56,818","2,091","9,626",
,"2,664",530,"6,733",10.37,390.45,-31.00,75,390.90,393.15,150,"24,300.00",150,40.05,40.35,450,2.55,40.25,11.90,"1,46,913","10,114","28,440",
,468,-84,"1,707",10.35,348.80,-28.40,150,348.55,351.30,150,"24,350.00",75,47.85,48.50,150,2.05,47.25,11.69,"63,758","5,095","10,307",
,"4,117",836,"16,303",10.42,310.00,-26.20,150,309.30,310.00,300,"24,400.00",225,58.25,58.45,150,4.40,58.45,11.52,"1,49,194","9,916","29,933",
,"2,036",-419,"9,331",10.23,270.60,-26.10,150,270.35,272.00,75,"24,450.00",150,69.10,69.95,150,5.55,69.90,11.34,"76,926","4,520","11,146",
,"19,304","6,173","79,075",10.27,235.05,-24.05,75,235.05,235.90,75,"24,500.00",75,83.10,83.95,225,7.30,84.15,11.21,"2,58,742","11,633","35,252",
,"3,493",-391,"36,478",10.24,200.15,-24.30,750,201.95,203.00,300,"24,550.00","2,175",100.00,100.90,150,8.95,100.85,11.13,"1,09,557","1,618","9,198",
,"37,375","13,354","3,34,701",10.11,172.00,-19.65,"2,175",171.55,171.95,150,"24,600.00",300,119.05,119.35,900,9.15,118.00,10.97,"4,32,331","14,556","45,418",
,"19,030","11,266","2,29,178",10.03,141.30,-21.35,75,143.35,143.90,75,"24,650.00",75,141.35,142.45,75,12.40,141.55,10.96,"2,34,300","10,158","19,074",
,"47,188","20,553","3,63,915",10.03,119.35,-16.90,75,119.20,119.75,"4,950","24,700.00",750,167.00,167.90,75,16.35,168.00,10.96,"2,29,638","7,807","23,522",
,"11,805","4,682","1,16,740",10.06,96.45,-15.60,75,97.80,98.30,675,"24,750.00",150,194.55,195.95,75,14.25,193.05,10.96,"37,061",723,"2,269",
,"40,413","18,839","2,53,859",10.08,80.00,-12.15,525,79.90,80.00,675,"24,800.00",75,226.40,227.95,75,20.85,228.00,10.91,"73,471","3,153","10,097",
,"14,439","3,044","2,02,516",10.11,64.35,-10.70,150,64.15,64.50,"2,400","24,850.00",150,260.90,262.75,150,22.85,262.65,11.04,"9,582",469,"1,187",
,"28,282","11,282","2,35,235",10.13,51.35,-8.10,75,51.05,51.35,675,"24,900.00",150,297.00,298.55,150,23.30,298.60,11.17,"18,833","3,931","6,975",
,"12,408","8,175","81,710",10.19,40.65,-6.50,150,40.70,41.00,375,"24,950.00",150,336.60,339.25,75,20.45,335.55,11.10,"2,647",69,339,
,"65,146","31,251","2,97,872",10.30,32.20,-5.20,150,32.25,32.45,75,"25,000.00",150,378.00,380.00,525,27.35,379.20,11.53,"19,791","4,431","11,257",
,"9,497","4,158","75,382",10.31,24.55,-4.55,375,24.75,25.20,150,"25,050.00",150,420.25,423.90,75,24.40,421.00,11.62,463,20,147,
,"23,859","8,305","1,05,258",10.47,19.60,-3.00,450,19.70,19.85,375,"25,100.00",75,464.85,466.75,225,28.80,466.45,12.02,"4,221","1,080","2,068",
,"9,497","4,246","45,531",10.56,15.75,-2.00,675,15.20,15.65,300,"25,150.00",150,510.30,514.35,75,28.25,512.25,12.37,141,34,72,
,"31,187","12,737","1,07,925",10.75,11.85,-2.15,450,12.30,12.40,450,"25,200.00",300,557.30,560.00,75,31.10,559.65,12.86,"1,756",867,"2,147",
,"10,647","5,943","34,772",10.90,9.70,-1.20,225,9.70,9.85,450,"25,250.00",150,604.45,608.60,75,26.65,599.15,11.87,60,39,90,
,"25,490","4,826","83,391",11.03,7.80,-0.80,"1,200",7.60,7.75,375,"25,300.00",150,652.00,656.60,75,27.85,650.80,12.98,753,357,817,
,"15,893","1,378","34,001",11.23,6.05,-0.80,825,6.00,6.05,300,"25,350.00",75,700.30,705.10,150,22.95,694.40,12.27,164,148,169,
,"31,206","15,149","78,532",11.44,4.65,-0.95,225,4.80,4.90,675,"25,400.00",150,749.10,753.85,75,28.75,747.80,13.85,392,282,582,
,"5,562","2,735","25,258",11.64,4.15,-0.60,225,3.95,4.05,"1,275","25,450.00",75,797.65,803.15,75,26.30,793.80,13.53,44,36,71,
,"71,473","37,678","1,68,553",11.99,3.60,-0.55,"1,950",3.45,3.50,"9,975","25,500.00",150,847.25,851.15,375,31.15,848.40,15.47,"1,749","1,144","1,851",
,"9,567","5,087","24,787",12.16,2.85,-0.50,"2,100",2.70,2.85,"2,100","25,550.00",75,846.25,921.40,75,-,847.60,-,-,-,47,
,"28,282","7,475","57,208",12.40,2.40,-0.50,150,2.35,2.40,"2,475","25,600.00",150,945.75,951.15,150,29.45,945.25,16.06,200,144,271,
,"4,860","1,208","14,050",12.76,2.05,-0.45,"2,925",2.00,2.05,"2,250","25,650.00",150,950.70,"1,038.35",75,25.85,989.85,14.82,3,-,14,
,"25,107","13,932","45,973",12.97,1.75,-0.40,75,1.70,1.80,"7,425","25,700.00",150,"1,044.85","1,051.15",75,23.55,"1,039.55",15.33,113,107,308,
,"4,658",411,"16,010",13.45,1.70,-0.15,"2,850",1.55,1.65,975,"25,750.00",75,"1,093.90","1,101.50",75,-135.15,"1,086.00",13.69,2,-,18,
,"17,068","4,626","41,536",13.87,1.60,-0.15,75,1.50,1.55,825,"25,800.00",300,"1,143.95","1,150.90",150,38.80,"1,145.15",18.80,51,50,342,
,"1,974",189,"5,838",14.27,1.50,-0.05,900,1.40,1.45,975,"25,850.00",75,"1,165.25","1,199.75",75,30.05,"1,200.05",20.92,4,4,12,
,"6,270","3,632","25,247",14.59,1.40,-0.10,"5,550",1.25,1.30,"1,200","25,900.00",150,"1,243.30","1,249.05",225,39.65,"1,235.65",15.21,64,58,73,
,"3,646","1,180","8,920",15.02,1.40,-,225,1.25,1.35,"1,050","25,950.00",75,"1,270.45","1,299.40",225,-0.25,"1,260.30",-,-,-,18,
,"59,084","38,267","1,27,299",15.59,1.30,-0.15,"16,350",1.30,1.35,"5,625","26,000.00",150,"1,343.40","1,349.05",75,35.50,"1,345.00",21.45,439,381,841,
,"1,813",107,"4,388",16.01,1.10,-0.30,"1,350",1.10,1.25,900,"26,050.00",75,"1,341.55","1,399.25",150,-0.10,"1,357.80",-,-,-,14,
,"4,020","1,206","9,317",16.43,1.10,-0.20,"8,550",1.10,1.20,300,"26,100.00",75,"1,402.95","1,449.10",225,-,"1,512.15",-,-,-,10,
,840,530,"2,159",16.75,1.05,-0.25,825,1.05,1.10,"2,925","26,150.00",75,"1,452.85","1,498.90",225,-,"1,561.90",-,-,-,11,
,"10,245","6,566","20,653",17.05,0.95,-0.15,"4,200",0.95,1.00,"11,175","26,200.00",75,"1,537.75","1,548.95",75,60.65,"1,539.50",21.68,9,7,14,
,"2,036","1,892","3,226",17.33,0.95,-0.15,"11,175",0.90,0.95,"10,800","26,250.00",75,"1,551.50","1,614.40",75,-,"1,697.00",-,-,-,3,
,"3,316","1,560","4,252",17.90,0.90,-0.15,"9,000",0.90,0.95,"13,200","26,300.00",75,"1,625.70","1,682.40",75,11.45,"1,607.70",-,-,-,13,
,189,79,353,18.37,0.95,-0.10,"22,500",0.85,1.00,"6,150","26,350.00",75,"1,678.05","1,734.95",75,-,"1,797.10",-,-,-,3,
,"10,761","8,802","15,882",18.73,0.90,-0.10,"90,150",0.80,0.85,"2,250","26,400.00",75,"1,727.10","1,784.10",75,-,"1,845.95",-,-,-,3,
,"1,113",962,"1,215",19.08,0.85,-0.10,"1,800",0.90,0.95,825,"26,450.00",75,"1,742.75","1,814.75",75,-,"1,894.40",-,-,-,4,
,"23,221","11,656","45,849",19.42,0.95,0.05,"53,475",0.80,0.85,"10,275","26,500.00",75,"1,788.90","1,884.25",75,5.65,"1,809.45",-,-,-,34,
,294,200,654,19.87,0.85,-0.05,"3,450",0.80,0.85,150,"26,550.00",450,"1,837.55","1,914.65",75,-104.05,"1,890.00",26.30,1,1,5,
,540,400,"1,427",20.19,0.80,-0.10,"33,975",0.75,0.80,"1,500","26,600.00",450,"1,931.60","1,948.10",75,-120.75,"1,890.60",-,2,-,3,
,745,532,"2,116",20.64,0.75,-0.10,"32,250",0.70,0.75,"4,275","26,650.00",75,"1,975.20","2,047.25",75,-,"2,093.65",-,-,-,4,
,325,131,849,21.08,0.80,-0.10,"4,350",0.75,0.80,"2,475","26,700.00",75,"2,024.85","2,097.30",75,-,"2,143.50",-,-,-,4,
,231,99,493,21.53,0.75,-0.10,"11,775",0.75,0.80,300,"26,750.00",75,"2,074.40","2,147.30",75,-,"2,194.95",-,-,-,3,
,"1,292",318,"4,166",22.11,0.80,-,"1,350",0.75,0.80,"3,225","26,800.00",150,"2,139.10","2,195.80",150,-121.45,"2,123.40",-,76,73,76,
,243,41,343,22.56,0.80,-0.05,"11,775",0.75,0.85,"2,100","26,850.00",75,"2,137.25","2,247.25",75,-,"2,294.20",-,-,-,3,
,"5,812","4,654","17,145",22.85,0.75,-0.10,"1,75,500",0.70,0.75,450,"26,900.00",150,"2,233.05","2,296.05",450,-90.95,"2,225.80",-,15,12,15,
,"4,156","3,084","11,739",23.13,0.70,-0.15,"58,950",0.70,0.75,"1,12,500","26,950.00",75,"2,236.95","2,347.30",75,-,"2,366.60",-,-,-,3,
